CA	organ_age	Age_group
31.9	30.4	[30,33)
69.1	71	[69,72)
53.5	51.5	[51,54)
45.9	39.2	[45,48)
30.8	35.5	[30,33)
61.6	66.9	[60,63)
75.3	70.6	[75,78)
46.4	49.6	[45,48)
53.1	55.5	[51,54)
56	63.7	[54,57)
62.9	57.4	[60,63)
32.9	33.7	[30,33)
44.4	43.8	[42,45)
71	68.9	[69,72)
29.4	33.3	[27,30)
58.9	51.8	[57,60)
41.2	37.1	[39,42)
35.4	35.9	[33,36)
59.2	63.4	[57,60)
50.7	46.6	[48,51)
59	50.6	[57,60)
48.2	53.9	[48,51)
80.2	69.4	[78,81)
23.7	29.9	[21,24)
37.8	29.2	[36,39)
31.7	30.7	[30,33)
58.1	66.5	[57,60)
36.7	40.1	[36,39)
59.3	65.3	[57,60)
60.7	59.9	[60,63)
68.2	66.9	[66,69)
63.5	71.8	[63,66)
60.4	57.3	[60,63)
72.3	74.7	[72,75)
56.7	65.3	[54,57)
44.1	47.4	[42,45)
76.5	78.2	[75,78)
76.7	71.4	[75,78)
47.9	42.8	[45,48)
49.4	43.8	[48,51)
59.1	64.5	[57,60)
76	78.1	[75,78)
36.4	39.8	[36,39)
60.5	65.6	[60,63)
77.2	77.1	[75,78)
32.3	35	[30,33)
73	75.7	[72,75)
23	31.9	[21,24)
36.1	31.9	[36,39)
74.7	70.7	[72,75)
30.8	30.2	[30,33)
41.4	38.1	[39,42)
51.9	55.1	[51,54)
45.9	57	[45,48)
36.8	40	[36,39)
56	60.4	[54,57)
51.5	49.3	[51,54)
58.7	56.6	[57,60)
64.1	69.8	[63,66)
68.2	68.9	[66,69)
73.9	71.1	[72,75)
26.7	29.9	[24,27)
52.8	51.4	[51,54)
74.5	67.3	[72,75)
70	69.3	[69,72)
44	46.6	[42,45)
59.2	64.8	[57,60)
34.4	41.8	[33,36)
49.4	46.5	[48,51)
63.7	65	[63,66)
40.1	45.6	[39,42)
65.3	63.9	[63,66)
73.6	71.6	[72,75)
45.9	46.7	[45,48)
56.7	57.1	[54,57)
38.8	37.2	[36,39)
37.5	44.5	[36,39)
42.2	49.3	[42,45)
55.9	45	[54,57)
55.9	52.8	[54,57)
46	50	[45,48)
45.6	46.6	[45,48)
