CA	organ_age	Age_group
56.7	62.1	[54,57)
44.1	46.6	[42,45)
37.7	37.9	[36,39)
47.8	44.4	[45,48)
29.9	34.6	[27,30)
69.6	70	[69,72)
53.3	49	[51,54)
30.6	36.7	[30,33)
62.5	68.6	[60,63)
67.6	68.2	[66,69)
31.7	48.3	[30,33)
67.3	71.9	[66,69)
80.7	66.3	[78,81)
69.7	71.4	[69,72)
60	68.9	[60,63)
62.3	71.7	[60,63)
36.8	38	[36,39)
70.2	68.2	[69,72)
74.2	73.2	[72,75)
62.3	62.6	[60,63)
71.4	78.2	[69,72)
66.2	62.4	[66,69)
54.5	53.9	[54,57)
59.1	67.7	[57,60)
37.2	39.7	[36,39)
37.1	43.7	[36,39)
44.1	45.1	[42,45)
53.2	56.6	[51,54)
38.3	33.8	[36,39)
63.2	69.2	[63,66)
44.5	43	[42,45)
38.3	36.8	[36,39)
69.4	68.7	[69,72)
32.6	35	[30,33)
40.6	54.1	[39,42)
41.6	39.4	[39,42)
51.9	51.1	[51,54)
45.1	45.8	[45,48)
61.3	63.3	[60,63)
53.3	57.8	[51,54)
43.2	50.5	[42,45)
65.1	69.5	[63,66)
72.1	71.6	[72,75)
68.1	64.1	[66,69)
48.1	48.5	[48,51)
71.3	71.6	[69,72)
51.8	60.7	[51,54)
76.6	73.2	[75,78)
45.8	50.1	[45,48)
56.7	54	[54,57)
39.4	36.3	[39,42)
40	32	[39,42)
37.5	39.2	[36,39)
43	48.2	[42,45)
44.2	43.1	[42,45)
51.6	50.1	[51,54)
49.1	47.1	[48,51)
64.6	70.2	[63,66)
66.7	73.5	[66,69)
62.8	63.9	[60,63)
48.9	53.5	[48,51)
44.5	52.4	[42,45)
75.8	65.6	[75,78)
41	43.5	[39,42)
67.9	66.5	[66,69)
53.9	46	[51,54)
51.5	48.3	[51,54)
30	31	[30,33)
64.6	64.6	[63,66)
37.8	37.1	[36,39)
38.2	30.1	[36,39)
60.9	70.6	[60,63)
40.2	36	[39,42)
72.6	72.3	[72,75)
44.6	38.6	[42,45)
45.6	49.3	[45,48)
46.7	53.3	[45,48)
73.7	71.4	[72,75)
40.2	41.1	[39,42)
49.7	41.9	[48,51)
67.3	69.2	[66,69)
53.3	55.1	[51,54)
76	67.3	[75,78)
65.9	63	[63,66)
30.6	29.2	[30,33)
52.1	45.7	[51,54)
71.7	73.9	[69,72)
47.4	38.4	[45,48)
70.3	73	[69,72)
57.6	61.5	[57,60)
74.4	70.9	[72,75)
65.7	74.6	[63,66)
38.5	34.5	[36,39)
25.9	32.5	[24,27)
57.8	69.8	[57,60)
41.4	42.4	[39,42)
72.8	75.8	[72,75)
76.1	69.9	[75,78)
26.8	34.1	[24,27)
40.3	36.7	[39,42)
44	40.6	[42,45)
76.9	70.2	[75,78)
55.4	56.9	[54,57)
45.4	45	[45,48)
66.1	69.6	[66,69)
54.3	61.6	[54,57)
32.1	38.1	[30,33)
24.7	28.9	[24,27)
40.5	52.4	[39,42)
49.5	51.1	[48,51)
42.5	36.1	[42,45)
68.5	71.4	[66,69)
26.6	28.1	[24,27)
36.3	37.6	[36,39)
23.2	23.5	[21,24)
79.1	72.1	[78,81)
60.2	64.5	[60,63)
44.5	43.7	[42,45)
75.9	71.4	[75,78)
39.9	49	[39,42)
60.4	62.8	[60,63)
49	45.8	[48,51)
60.6	50.8	[60,63)
42	55.4	[42,45)
48.1	42.6	[48,51)
30.1	30.8	[30,33)
45.3	53.9	[45,48)
61.2	63.7	[60,63)
51	46.9	[51,54)
56.8	61.3	[54,57)
63.4	62.3	[63,66)
46.3	40.6	[45,48)
50.8	51.9	[48,51)
37.9	45.6	[36,39)
56.6	53.2	[54,57)
61.6	68.4	[60,63)
39	36.1	[39,42)
69.7	63.1	[69,72)
58.3	50.5	[57,60)
70.1	71.1	[69,72)
64.6	73.2	[63,66)
49	52.7	[48,51)
71.4	73.1	[69,72)
53.6	66.7	[51,54)
50.5	46.7	[48,51)
48.7	52.2	[48,51)
63.8	52.5	[63,66)
41.7	33.6	[39,42)
80.5	72.3	[78,81)
32.5	30.7	[30,33)
59.7	57.1	[57,60)
41.1	40.9	[39,42)
47.6	54	[45,48)
42.3	47.8	[42,45)
29.4	31.7	[27,30)
53.6	66.5	[51,54)
38.5	41.3	[36,39)
28.1	32.5	[27,30)
56.2	57	[54,57)
38.9	37.1	[36,39)
37.3	41.7	[36,39)
57.2	73.6	[57,60)
36.2	31.4	[36,39)
58.7	59.1	[57,60)
24.2	26.2	[24,27)
31.8	32.3	[30,33)
24.1	28.1	[24,27)
35.9	47.7	[33,36)
57.1	64.3	[57,60)
61	72.5	[60,63)
73.5	74.5	[72,75)
69.9	67.3	[69,72)
47.7	48.8	[45,48)
43.7	40.9	[42,45)
34.8	40.6	[33,36)
51.3	59.4	[51,54)
47	53.6	[45,48)
50.8	55	[48,51)
50.8	50.9	[48,51)
54.2	54.4	[54,57)
55.3	65.6	[54,57)
41.9	31.5	[39,42)
26.5	30.4	[24,27)
51.6	54.3	[51,54)
62.9	63.8	[60,63)
41.8	43.1	[39,42)
65.9	70.7	[63,66)
49.9	46.5	[48,51)
29.5	34.8	[27,30)
63.5	66.5	[63,66)
52	53.3	[51,54)
65.6	64.2	[63,66)
43.1	32.9	[42,45)
54	50.4	[54,57)
71.7	73.4	[69,72)
35.2	29.2	[33,36)
68.7	74.5	[66,69)
49	57.2	[48,51)
67.2	71.3	[66,69)
61.1	60.5	[60,63)
72.9	71.5	[72,75)
55.4	57.8	[54,57)
41	36.7	[39,42)
63.4	59.5	[63,66)
51.5	42.6	[51,54)
72.8	65.9	[72,75)
36.5	39.1	[36,39)
26.4	34.8	[24,27)
51.6	53.2	[51,54)
38.8	35	[36,39)
50.3	47.4	[48,51)
42.9	45.4	[42,45)
56.2	72	[54,57)
53.5	57.5	[51,54)
82.2	81.8	[81,84)
33.8	32.3	[33,36)
50.1	42.1	[48,51)
47.8	40.5	[45,48)
43.8	42.3	[42,45)
36.3	30.1	[36,39)
77.4	68.8	[75,78)
46.9	40.3	[45,48)
67.3	68.9	[66,69)
53	55.7	[51,54)
35.8	36.3	[33,36)
51.4	54.2	[51,54)
54.4	48.6	[54,57)
26.3	30.3	[24,27)
28.1	30.5	[27,30)
67.5	64.4	[66,69)
51.7	52.8	[51,54)
48.4	48.3	[48,51)
51.1	41.9	[51,54)
45.6	49.6	[45,48)
39.8	36.8	[39,42)
65.4	64	[63,66)
77.2	77	[75,78)
47.1	49.4	[45,48)
58	55.9	[57,60)
57	51	[57,60)
68.5	69.8	[66,69)
70.9	76.6	[69,72)
57.9	54.3	[57,60)
67.1	67.7	[66,69)
54.3	69.4	[54,57)
46.1	42.2	[45,48)
21.2	23.9	[21,24)
63.3	64.8	[63,66)
47.1	51.8	[45,48)
68.2	74.3	[66,69)
20.8	26.5	[18,21)
72.6	68.5	[72,75)
58.7	62.5	[57,60)
70.4	76.7	[69,72)
62.7	55.1	[60,63)
47	52	[45,48)
58.2	62.3	[57,60)
71.5	76.9	[69,72)
56.7	52.5	[54,57)
67.8	64.1	[66,69)
65.2	64.9	[63,66)
37.9	35.1	[36,39)
34.9	29.8	[33,36)
72.3	67	[72,75)
53	60.6	[51,54)
48.1	55.3	[48,51)
68	66.6	[66,69)
39.8	47.2	[39,42)
69.1	67.4	[69,72)
32	29.6	[30,33)
67.3	65.5	[66,69)
35.4	37.1	[33,36)
78.8	69.8	[78,81)
34	24.1	[33,36)
64.3	74.4	[63,66)
59.6	65.1	[57,60)
55.9	70	[54,57)
39.3	50.4	[39,42)
56.7	57.2	[54,57)
44.7	48.3	[42,45)
74.4	70.3	[72,75)
32.4	35.1	[30,33)
31.2	31.7	[30,33)
34.1	33.9	[33,36)
33.2	31.2	[33,36)
45.8	43.7	[45,48)
53.2	50.8	[51,54)
48.8	41.8	[48,51)
58.6	64.1	[57,60)
50	48.1	[48,51)
48	54.8	[48,51)
23	26.2	[21,24)
75	69.4	[75,78)
50.3	51.7	[48,51)
46.7	51.3	[45,48)
35.5	41	[33,36)
69.1	71.2	[69,72)
59.5	51.4	[57,60)
51.8	53.3	[51,54)
52.8	55.7	[51,54)
71.3	66.6	[69,72)
49.1	54.1	[48,51)
60.5	65	[60,63)
74.7	75.1	[72,75)
62.9	55.1	[60,63)
71.1	73.3	[69,72)
28.6	30.2	[27,30)
51.9	45.3	[51,54)
59.2	63.8	[57,60)
57.7	53.8	[57,60)
45	36.3	[45,48)
47.1	56.5	[45,48)
50.5	40.3	[48,51)
60.3	62.5	[60,63)
72.5	73.5	[72,75)
70.6	75.2	[69,72)
59.6	54.5	[57,60)
57	61.7	[57,60)
52.7	52.7	[51,54)
72	63.8	[72,75)
77	70.5	[75,78)
47.7	45.6	[45,48)
65.2	67.4	[63,66)
60.6	64.9	[60,63)
68.1	63.3	[66,69)
34.7	30.3	[33,36)
43.3	44.6	[42,45)
55.8	71.7	[54,57)
48.6	66.3	[48,51)
69.1	64.3	[69,72)
28.9	32.9	[27,30)
48.6	48.5	[48,51)
66.6	60.9	[66,69)
70.2	70.8	[69,72)
34.2	34.8	[33,36)
31.5	38	[30,33)
64.4	69.5	[63,66)
44.4	43.7	[42,45)
67.1	71.1	[66,69)
24.2	32.5	[24,27)
60.2	70.3	[60,63)
59.6	50.8	[57,60)
65.3	71.5	[63,66)
37.8	39.3	[36,39)
55.8	46.7	[54,57)
36.3	34.8	[36,39)
46.8	47.7	[45,48)
32.9	38.4	[30,33)
20.8	20	[18,21)
27.2	35.8	[27,30)
41.1	37.6	[39,42)
54.6	61.1	[54,57)
69.9	72.4	[69,72)
32.5	33.2	[30,33)
73.5	66.5	[72,75)
55.2	46.5	[54,57)
44.2	47.8	[42,45)
64.5	61.9	[63,66)
34.4	31.8	[33,36)
73.3	65.3	[72,75)
44.7	51	[42,45)
43.9	44	[42,45)
68	53.4	[66,69)
39.9	48.6	[39,42)
30	27.5	[30,33)
54.8	50	[54,57)
26	27.6	[24,27)
45.9	50.5	[45,48)
57.4	63.1	[57,60)
64.7	60.4	[63,66)
42.4	35.2	[42,45)
61.4	52.4	[60,63)
54.5	54.5	[54,57)
42.3	41.1	[42,45)
45.2	51.8	[45,48)
43.7	43.6	[42,45)
30.5	31.2	[30,33)
68.3	67.1	[66,69)
28.5	29.4	[27,30)
42.7	40.1	[42,45)
52.2	49.3	[51,54)
66	66.4	[66,69)
49.1	54.1	[48,51)
74.3	73.4	[72,75)
61.3	66.1	[60,63)
72.5	70.7	[72,75)
65.8	56.1	[63,66)
47.5	49.3	[45,48)
64.8	66.8	[63,66)
47.9	49.1	[45,48)
69.8	75.6	[69,72)
50.1	48.9	[48,51)
45.8	49.7	[45,48)
34.8	37.3	[33,36)
39.2	45.9	[39,42)
45.1	38.9	[45,48)
48.4	49.3	[48,51)
54.6	53.7	[54,57)
55.6	50.3	[54,57)
63	69.2	[63,66)
41.9	42.5	[39,42)
68.6	70.1	[66,69)
53.1	50.5	[51,54)
41.5	40	[39,42)
75.9	77.2	[75,78)
55.4	51.3	[54,57)
32.8	34	[30,33)
45.9	40	[45,48)
35.5	44.4	[33,36)
45.2	49	[45,48)
68.4	73.4	[66,69)
73	70.2	[72,75)
56.3	57.1	[54,57)
67	71.1	[66,69)
61.6	60.8	[60,63)
65.2	64.5	[63,66)
70	71.3	[69,72)
41.5	40.4	[39,42)
49.4	45.9	[48,51)
77.5	71.8	[75,78)
74.7	75.2	[72,75)
37.8	36.6	[36,39)
69.6	65.4	[69,72)
66.3	61.1	[66,69)
35.7	33.8	[33,36)
32.1	36.5	[30,33)
59	64	[57,60)
63.7	70.2	[63,66)
77.3	72.7	[75,78)
20.8	21.7	[18,21)
37.8	31.1	[36,39)
32	26.1	[30,33)
43.1	56.2	[42,45)
33.1	41.1	[33,36)
54.9	52.9	[54,57)
51.9	55.6	[51,54)
51.1	53.4	[51,54)
38.9	39.5	[36,39)
39.4	32.4	[39,42)
51.8	53.8	[51,54)
34.6	30.6	[33,36)
38.9	37.1	[36,39)
37.4	41.7	[36,39)
69.8	73.8	[69,72)
57.1	43.7	[57,60)
47.8	50.3	[45,48)
35.6	33.1	[33,36)
27.8	37.1	[27,30)
20.7	21.9	[18,21)
28.2	26	[27,30)
60.5	55.7	[60,63)
61.9	77.4	[60,63)
32.6	39.2	[30,33)
67.7	70.1	[66,69)
59.4	62.4	[57,60)
33.9	37.2	[33,36)
73.8	77.6	[72,75)
63.1	67.2	[63,66)
49.4	52.7	[48,51)
70.1	73.7	[69,72)
47.9	41.9	[45,48)
66.3	74.6	[66,69)
69.3	63.7	[69,72)
65.3	68.2	[63,66)
43.9	39.4	[42,45)
47.4	51.9	[45,48)
26.1	27.7	[24,27)
47.6	51.1	[45,48)
53.4	53.9	[51,54)
46.6	48.5	[45,48)
59.7	62.1	[57,60)
51.1	39.6	[51,54)
46.1	48.2	[45,48)
72.7	77.6	[72,75)
69.5	72.6	[69,72)
47.5	48.5	[45,48)
52.4	54	[51,54)
42.7	42.8	[42,45)
75.9	78.4	[75,78)
66.5	62.9	[66,69)
56	58.4	[54,57)
48.6	50.1	[48,51)
36.9	35.8	[36,39)
52.9	48	[51,54)
71.2	69	[69,72)
42.7	47.9	[42,45)
31.7	25	[30,33)
57.7	56.7	[57,60)
63.1	63.1	[63,66)
67.7	62.2	[66,69)
61.1	56.7	[60,63)
47.4	53	[45,48)
30.9	45.8	[30,33)
51.9	54.4	[51,54)
56.9	52.6	[54,57)
43.4	44.1	[42,45)
24.2	23.9	[24,27)
27	27.8	[27,30)
38.4	37.2	[36,39)
38.3	31.7	[36,39)
40.5	35.3	[39,42)
35.7	31.2	[33,36)
32.8	37.9	[30,33)
44.5	39.4	[42,45)
32.4	30.2	[30,33)
45.5	41.5	[45,48)
55.9	63.5	[54,57)
52.8	56.2	[51,54)
58.9	59.8	[57,60)
43.7	56.5	[42,45)
47.5	38.7	[45,48)
35.2	37.3	[33,36)
48.8	57.8	[48,51)
59.4	62.7	[57,60)
54.2	48.4	[54,57)
60.7	56.5	[60,63)
41.9	33.5	[39,42)
33.2	36.4	[33,36)
71.2	75	[69,72)
63.9	61.6	[63,66)
56.4	49.5	[54,57)
63.8	58.4	[63,66)
34.5	36.8	[33,36)
40	44.7	[39,42)
30.3	27.1	[30,33)
56.6	54.2	[54,57)
54	54.1	[54,57)
55.8	74.9	[54,57)
49.8	56	[48,51)
59.4	51	[57,60)
67.5	75	[66,69)
68.9	70.2	[66,69)
26.1	29.1	[24,27)
31.2	33.5	[30,33)
70.5	65.1	[69,72)
51	51.8	[51,54)
71.8	64.7	[69,72)
57.7	67.7	[57,60)
46.6	52.1	[45,48)
41.2	33.1	[39,42)
72.1	69.9	[72,75)
31.8	37.5	[30,33)
31.4	28.1	[30,33)
30.9	36.6	[30,33)
56.7	53.2	[54,57)
46.8	48	[45,48)
68.3	63.6	[66,69)
59.2	68.8	[57,60)
38.5	39.2	[36,39)
46.6	45.2	[45,48)
47.5	61.1	[45,48)
28.7	38.9	[27,30)
67.9	66.3	[66,69)
64.5	74.2	[63,66)
39.6	46.9	[39,42)
71	72.6	[69,72)
60.9	70.6	[60,63)
49.5	52.9	[48,51)
63.1	55.8	[63,66)
76.7	73.6	[75,78)
38.9	35	[36,39)
38.4	44.6	[36,39)
26.5	24	[24,27)
64	67	[63,66)
41.1	44.6	[39,42)
46.2	49.3	[45,48)
50.5	57	[48,51)
56.8	48.2	[54,57)
76	68.3	[75,78)
36.7	40.9	[36,39)
57.1	51	[57,60)
41.2	45	[39,42)
53.7	54.1	[51,54)
51.5	63.9	[51,54)
73.9	78.4	[72,75)
35.5	38.2	[33,36)
78.4	72.2	[78,81)
68.3	73.2	[66,69)
58.7	57.2	[57,60)
58.8	69.1	[57,60)
29.3	34.6	[27,30)
70.9	67.4	[69,72)
48.7	46.6	[48,51)
69.3	61.7	[69,72)
35.9	29.6	[33,36)
67.3	73.8	[66,69)
66.5	65.2	[66,69)
37.3	39.7	[36,39)
64.7	66.2	[63,66)
55.7	48	[54,57)
46	48.4	[45,48)
70.8	67.9	[69,72)
68.7	67.1	[66,69)
27	34.6	[27,30)
56.8	56.5	[54,57)
41.1	30.6	[39,42)
66.3	69.2	[66,69)
28.4	24.7	[27,30)
47.8	48.3	[45,48)
34.9	32.3	[33,36)
43.6	49	[42,45)
40.6	39	[39,42)
67.5	69	[66,69)
43.5	41.6	[42,45)
62	58.3	[60,63)
61.9	64.4	[60,63)
76.2	71.6	[75,78)
67.4	71.9	[66,69)
57.4	59.3	[57,60)
73.5	72.8	[72,75)
45	32.4	[45,48)
48.7	46.8	[48,51)
69.6	69.7	[69,72)
61.4	55	[60,63)
65.8	63.1	[63,66)
59.1	63.5	[57,60)
66.2	69.8	[66,69)
46.9	53.3	[45,48)
43.1	44.3	[42,45)
71.4	73.1	[69,72)
35.4	33.5	[33,36)
59.4	66.4	[57,60)
45.5	31	[45,48)
71	72.4	[69,72)
53.8	56	[51,54)
43.2	48.8	[42,45)
56	53.8	[54,57)
45.7	47.6	[45,48)
71.9	73.5	[69,72)
37.4	37	[36,39)
54.6	56	[54,57)
47.4	45.1	[45,48)
50.9	49	[48,51)
30.8	34.1	[30,33)
44	40.7	[42,45)
40.8	47.8	[39,42)
70.3	65.3	[69,72)
47.3	40.4	[45,48)
62	59.6	[60,63)
39.4	40.2	[39,42)
76.7	73.6	[75,78)
50.7	51.5	[48,51)
64.3	62.8	[63,66)
50.5	52.3	[48,51)
65	68.7	[63,66)
67.4	67.9	[66,69)
47	44.3	[45,48)
48.2	43.3	[48,51)
47.5	49.5	[45,48)
46.6	35.6	[45,48)
60	63.3	[60,63)
71.8	74.3	[69,72)
61.4	58.1	[60,63)
63.2	64.6	[63,66)
77.2	65.2	[75,78)
39.5	45.4	[39,42)
33.5	32.9	[33,36)
44.5	38.7	[42,45)
53.2	53.2	[51,54)
24.6	28.4	[24,27)
38.7	42.7	[36,39)
39.6	33.3	[39,42)
53.1	56.1	[51,54)
43.6	43.5	[42,45)
59.4	58.7	[57,60)
53.8	49.9	[51,54)
70.4	72.4	[69,72)
73	75.1	[72,75)
37.6	34.2	[36,39)
41.4	44	[39,42)
70	68.4	[69,72)
65.7	64.2	[63,66)
33.8	29.6	[33,36)
59	54.2	[57,60)
75.2	74.3	[75,78)
56.1	64.6	[54,57)
43.3	49.5	[42,45)
29.3	34	[27,30)
40.3	49	[39,42)
60	66.5	[60,63)
48.7	54.4	[48,51)
66.9	69.3	[66,69)
47.4	50.5	[45,48)
78.3	69.3	[78,81)
67.7	67.4	[66,69)
30.7	29.8	[30,33)
37.4	34.6	[36,39)
56.2	63.9	[54,57)
45	44	[45,48)
24.9	32.3	[24,27)
45.4	37.6	[45,48)
73.8	72.1	[72,75)
43.7	43.1	[42,45)
57.4	47.8	[57,60)
41.1	42.5	[39,42)
57.9	53.2	[57,60)
78.9	69.6	[78,81)
35.2	38.5	[33,36)
76.6	73.6	[75,78)
72.7	67	[72,75)
79.9	72.2	[78,81)
42.2	52.6	[42,45)
48.8	51.2	[48,51)
32.9	30.6	[30,33)
26.8	41.8	[24,27)
44.7	39.1	[42,45)
54.6	47.6	[54,57)
48.6	55.7	[48,51)
68.6	66.8	[66,69)
55.4	53.9	[54,57)
50.9	48.1	[48,51)
49.6	62	[48,51)
50.7	46.7	[48,51)
51.5	63.7	[51,54)
70.5	74.1	[69,72)
43.9	39.6	[42,45)
29.3	29.9	[27,30)
33.6	43	[33,36)
47.7	36	[45,48)
54.6	49.2	[54,57)
60.8	60.2	[60,63)
50.7	45.9	[48,51)
32.2	34.8	[30,33)
61.9	68	[60,63)
71.8	64.4	[69,72)
67.8	66.7	[66,69)
55.4	50.8	[54,57)
73.8	73.3	[72,75)
38.9	45.7	[36,39)
23.8	23.8	[21,24)
67.5	69.3	[66,69)
48.2	58.6	[48,51)
32.8	36.2	[30,33)
31.2	25.9	[30,33)
44.2	40.7	[42,45)
66.5	75.5	[66,69)
44.2	50.1	[42,45)
38.1	38.3	[36,39)
28	26.2	[27,30)
50.3	54.6	[48,51)
30.7	35.4	[30,33)
73	70	[72,75)
30.9	31.8	[30,33)
32.4	29.6	[30,33)
35.1	35.5	[33,36)
60.9	62.6	[60,63)
57.4	64.3	[57,60)
58.8	66.9	[57,60)
57.6	61.9	[57,60)
49.5	46.1	[48,51)
61.3	66.6	[60,63)
80.4	74.1	[78,81)
47.6	53.6	[45,48)
63.4	66.1	[63,66)
50.9	54.9	[48,51)
26.3	24.5	[24,27)
72.3	75.4	[72,75)
55.2	46.2	[54,57)
72	73.1	[72,75)
55.6	38.2	[54,57)
39.4	39.6	[39,42)
65.9	65.6	[63,66)
34.6	33.5	[33,36)
30.4	27.6	[30,33)
71.9	70.3	[69,72)
57.4	68.6	[57,60)
74.3	73.1	[72,75)
64.6	69.2	[63,66)
55.9	53.4	[54,57)
64.6	53.9	[63,66)
37.8	41.8	[36,39)
49.2	33.6	[48,51)
53	48.7	[51,54)
42.3	45.6	[42,45)
60.6	50.8	[60,63)
67.7	69.3	[66,69)
30.7	32.1	[30,33)
77.5	73.8	[75,78)
63.6	61.1	[63,66)
48	48.3	[48,51)
62.6	67.3	[60,63)
63.8	58.6	[63,66)
54.1	45.2	[54,57)
18.2	21.2	[18,21)
37.7	41.5	[36,39)
46.8	52.3	[45,48)
64.1	66.4	[63,66)
61.8	64.1	[60,63)
36.3	27	[36,39)
40.3	41.5	[39,42)
64	62.7	[63,66)
69.1	68.7	[69,72)
