CA	organ_age	Age_group
58.7	55.4	[57,60)
54.5	43.4	[54,57)
43.5	44.8	[42,45)
55.7	48.7	[54,57)
29.3	34.2	[27,30)
35.4	35.5	[33,36)
67.2	67.9	[66,69)
49.2	36.4	[48,51)
72	71.4	[72,75)
45.7	44.9	[45,48)
62.4	67	[60,63)
37.9	38.7	[36,39)
57.7	61	[57,60)
48.2	35	[48,51)
49.8	52.3	[48,51)
69.3	65.6	[69,72)
78.3	71	[78,81)
39.1	53.5	[39,42)
51.6	51.5	[51,54)
60.9	70.4	[60,63)
48.2	49.3	[48,51)
73.5	73.3	[72,75)
25.7	28	[24,27)
49.5	44.6	[48,51)
50.8	53.7	[48,51)
36	32.3	[36,39)
47.2	46.3	[45,48)
45.3	48.9	[45,48)
61.8	55.9	[60,63)
59	54.4	[57,60)
37.8	43.3	[36,39)
47.8	50.9	[45,48)
31.9	34.6	[30,33)
75.3	76.7	[75,78)
51.6	52.9	[51,54)
34.5	32.5	[33,36)
74.7	73.2	[72,75)
37.3	33.7	[36,39)
51.4	53.3	[51,54)
62.9	62.9	[60,63)
50.6	44.8	[48,51)
70.6	75.1	[69,72)
33.2	27.9	[33,36)
66	70.9	[66,69)
21.5	27.6	[21,24)
61.4	58.6	[60,63)
76.6	73.3	[75,78)
30.9	32.7	[30,33)
70	71.9	[69,72)
64.6	71.5	[63,66)
77.4	67.9	[75,78)
39.5	40	[39,42)
66	66.8	[66,69)
51.9	50.5	[51,54)
23.3	28.4	[21,24)
24.3	32.7	[24,27)
60.2	62	[60,63)
18.2	25.9	[18,21)
76.3	67.3	[75,78)
45.5	49.8	[45,48)
41.6	45.4	[39,42)
46.7	45.2	[45,48)
62.8	64.5	[60,63)
29.3	34.3	[27,30)
45.5	45.9	[45,48)
58.7	66.6	[57,60)
74.7	75.1	[72,75)
58.2	62.1	[57,60)
46.9	43.2	[45,48)
79.3	73.6	[78,81)
60.6	53	[60,63)
57.2	56.4	[57,60)
64.4	68.7	[63,66)
36.3	40.6	[36,39)
46.2	47	[45,48)
49.6	49.4	[48,51)
49.4	56.1	[48,51)
74.5	70	[72,75)
55.3	55.6	[54,57)
51.9	49.2	[51,54)
69.3	69.3	[69,72)
68.4	74.9	[66,69)
54.4	57.7	[54,57)
43.8	50.1	[42,45)
29.3	35.5	[27,30)
32.1	30.6	[30,33)
51.3	52.9	[51,54)
70.9	67.6	[69,72)
50.1	48.3	[48,51)
40.3	38.1	[39,42)
60.3	66.4	[60,63)
31.2	26.1	[30,33)
38.2	36.7	[36,39)
53.5	48.9	[51,54)
32.5	33.2	[30,33)
55.7	51.2	[54,57)
56.4	51.8	[54,57)
74.8	73.2	[72,75)
58.4	50.5	[57,60)
23.7	29.5	[21,24)
46.1	54.7	[45,48)
55	50.6	[54,57)
36.1	38.9	[36,39)
57.1	58.4	[57,60)
57.2	51.6	[57,60)
33.7	39.2	[33,36)
71.6	70.4	[69,72)
38	45.1	[36,39)
48	52.4	[48,51)
28.2	31	[27,30)
71.8	70.7	[69,72)
50.3	50.4	[48,51)
69.8	73.4	[69,72)
62.2	62.4	[60,63)
33.5	44.3	[33,36)
64.4	66	[63,66)
27.9	28.7	[27,30)
33.3	37.7	[33,36)
76.2	72.7	[75,78)
58.5	67.4	[57,60)
38.4	48.5	[36,39)
32.1	27.9	[30,33)
58.9	63	[57,60)
21	19.9	[21,24)
40.7	46.9	[39,42)
60.1	68.3	[60,63)
74.7	72.9	[72,75)
39	48.5	[39,42)
60.7	62.5	[60,63)
60.3	63.4	[60,63)
68.5	70.2	[66,69)
37.9	35.5	[36,39)
43.6	42.5	[42,45)
59	68.2	[57,60)
39.7	40	[39,42)
65.4	67.4	[63,66)
62.5	69.1	[60,63)
70	68.8	[69,72)
64.1	65.9	[63,66)
28.2	36.1	[27,30)
47.9	46.5	[45,48)
37.5	31.4	[36,39)
65.1	73.5	[63,66)
45	46.8	[45,48)
75.7	75.6	[75,78)
62.9	68.1	[60,63)
55.5	53.8	[54,57)
55	63.8	[54,57)
34	33.2	[33,36)
44.5	43.3	[42,45)
77.7	71.4	[75,78)
55.6	61.7	[54,57)
33.4	30.5	[33,36)
78.2	71.1	[78,81)
70.3	70	[69,72)
39.2	34.9	[39,42)
60.7	61.7	[60,63)
53.1	58.8	[51,54)
71.5	71.1	[69,72)
32.4	33.8	[30,33)
52.8	41.5	[51,54)
57.1	56.9	[57,60)
70.5	69.6	[69,72)
24.9	38.3	[24,27)
40.6	41.7	[39,42)
49.9	53.7	[48,51)
68.7	75.9	[66,69)
74	65.2	[72,75)
77.5	72.3	[75,78)
26.1	31.3	[24,27)
70.5	73.8	[69,72)
46.1	46.7	[45,48)
43.9	47.9	[42,45)
34	34.8	[33,36)
65.7	63.3	[63,66)
63.6	70.5	[63,66)
44.7	45.7	[42,45)
68.2	64.7	[66,69)
71.6	63.2	[69,72)
62.2	71.6	[60,63)
58.7	69.2	[57,60)
67.8	67.3	[66,69)
76.8	67.5	[75,78)
46	51.2	[45,48)
50.1	47.1	[48,51)
51.9	57	[51,54)
58.5	64.6	[57,60)
33.7	39.7	[33,36)
41	34	[39,42)
50.5	54.6	[48,51)
76.4	71.8	[75,78)
54.8	56.4	[54,57)
68.2	70.8	[66,69)
69.9	66.1	[69,72)
52.5	51.5	[51,54)
36.9	30.5	[36,39)
49.3	54.5	[48,51)
58.6	66.1	[57,60)
70.7	70.7	[69,72)
37.2	37.6	[36,39)
53.2	52.9	[51,54)
35.1	33.5	[33,36)
37.6	36.5	[36,39)
69.9	72.9	[69,72)
54.2	49.1	[54,57)
35.6	35.6	[33,36)
48.1	52.8	[48,51)
