CA	organ_age	Age_group
38.4	53.8	[36,39)
73.8	70.2	[72,75)
41.5	33.8	[39,42)
70.8	66	[69,72)
44.8	49	[42,45)
40.1	30.6	[39,42)
31.4	38.6	[30,33)
23.6	24.4	[21,24)
43.8	52.5	[42,45)
22.5	28	[21,24)
49.2	50.3	[48,51)
56.8	51.5	[54,57)
74.7	66.3	[72,75)
47.5	57.4	[45,48)
56.4	52.1	[54,57)
29.3	36.9	[27,30)
27.2	37.3	[27,30)
48.6	53.8	[48,51)
50.9	48.5	[48,51)
50.7	50.6	[48,51)
66.4	65.1	[66,69)
64.6	64.4	[63,66)
70.8	71.5	[69,72)
62	68.5	[60,63)
31.3	27.3	[30,33)
50.6	44.1	[48,51)
28.1	28.5	[27,30)
72.3	70.9	[72,75)
59.3	67.4	[57,60)
46	42.1	[45,48)
48.6	57.7	[48,51)
50.4	45.7	[48,51)
77.9	72	[75,78)
62	56.7	[60,63)
64.8	67.4	[63,66)
47.5	64.5	[45,48)
76.7	74.8	[75,78)
78.6	73.3	[78,81)
50.8	52.5	[48,51)
35.2	36.2	[33,36)
70.5	65.6	[69,72)
45.6	47.4	[45,48)
34.3	36.7	[33,36)
72.5	74	[72,75)
18.2	21.9	[18,21)
51.5	60.8	[51,54)
51.1	56.6	[51,54)
36.8	25.2	[36,39)
28.2	33.4	[27,30)
38.4	36.8	[36,39)
41.9	41.3	[39,42)
23.8	26.7	[21,24)
26.6	26	[24,27)
37	29.4	[36,39)
43.6	50.4	[42,45)
39.6	35	[39,42)
26	28.3	[24,27)
59.6	54.8	[57,60)
53.4	65	[51,54)
50.1	51.1	[48,51)
60.7	55.5	[60,63)
50.7	45	[48,51)
70.9	73.9	[69,72)
58.5	68.1	[57,60)
70.9	67.8	[69,72)
45.5	33.6	[45,48)
67.5	69.8	[66,69)
77.8	69.6	[75,78)
65	81.3	[63,66)
25.2	30.2	[24,27)
58.9	72.9	[57,60)
59.3	65.9	[57,60)
75.4	73.9	[75,78)
39.1	38.3	[39,42)
26.3	35.5	[24,27)
68.2	61.6	[66,69)
33.3	44.4	[33,36)
34.5	31.5	[33,36)
45.2	47	[45,48)
34.7	52.7	[33,36)
57.9	61.1	[57,60)
50	38.3	[48,51)
28.5	34.6	[27,30)
78.4	70.2	[78,81)
42.8	44.2	[42,45)
60.5	66.6	[60,63)
53.7	55.5	[51,54)
72.8	70.5	[72,75)
47.4	45.1	[45,48)
38	37.5	[36,39)
59.5	62.6	[57,60)
60.8	65.9	[60,63)
64.8	51	[63,66)
54.7	51.7	[54,57)
46.5	37.6	[45,48)
50.1	42.7	[48,51)
65.2	62.1	[63,66)
35	25.7	[33,36)
53.1	48.3	[51,54)
34.4	30.1	[33,36)
43.9	44.2	[42,45)
29.9	30.3	[27,30)
35.8	39.9	[33,36)
65.7	72.6	[63,66)
34.7	34.3	[33,36)
42.4	45.8	[42,45)
62.1	64.8	[60,63)
44.5	36.1	[42,45)
41.3	39.6	[39,42)
82	71.4	[81,84)
45.8	45.4	[45,48)
43	44.6	[42,45)
46	40.2	[45,48)
37.6	36.3	[36,39)
59.5	60	[57,60)
75.6	75.2	[75,78)
67.9	69.9	[66,69)
44.4	51.7	[42,45)
25.5	28.4	[24,27)
74.1	69.8	[72,75)
64.1	70.5	[63,66)
38	33.3	[36,39)
50.9	56.7	[48,51)
67.1	62.3	[66,69)
58.8	63.7	[57,60)
44.7	32.3	[42,45)
70.8	62.3	[69,72)
27.3	36	[27,30)
47.7	44.8	[45,48)
44	48	[42,45)
38.4	40	[36,39)
51.6	55.9	[51,54)
56.8	55.2	[54,57)
26.1	27.3	[24,27)
28.5	32.5	[27,30)
27.4	35.7	[27,30)
68.7	72.3	[66,69)
32.1	31.8	[30,33)
70	69.8	[69,72)
51.5	53.9	[51,54)
61	53.2	[60,63)
31.5	33.3	[30,33)
56.8	67.7	[54,57)
45.5	42.4	[45,48)
45	41.9	[45,48)
64.3	74.2	[63,66)
62.2	70.2	[60,63)
48.7	58	[48,51)
29.3	37	[27,30)
32.5	24.6	[30,33)
49.1	48.4	[48,51)
31.4	33.7	[30,33)
39.5	43.1	[39,42)
42.1	49.1	[42,45)
19.2	23	[18,21)
63.9	69.1	[63,66)
45.3	50.5	[45,48)
38.5	37.6	[36,39)
70.9	66.1	[69,72)
52.4	37.3	[51,54)
70.6	67.2	[69,72)
56.8	51.6	[54,57)
58.4	48.7	[57,60)
25.7	28.2	[24,27)
72.6	70.4	[72,75)
36	35	[36,39)
54.1	54.3	[54,57)
73.8	75.2	[72,75)
68.8	73.1	[66,69)
50.5	45.6	[48,51)
39.4	34.8	[39,42)
52.9	52.2	[51,54)
43.2	45.1	[42,45)
65.2	65.3	[63,66)
44.1	52.6	[42,45)
57.7	58.9	[57,60)
34.4	37.6	[33,36)
52.5	61.1	[51,54)
51	59.6	[51,54)
56.9	51.5	[54,57)
69.2	69.4	[69,72)
51.8	53.2	[51,54)
62.5	61.7	[60,63)
56.5	39.3	[54,57)
49.2	49.5	[48,51)
69.6	62.2	[69,72)
67	74.5	[66,69)
62	62.7	[60,63)
55.3	48.7	[54,57)
42.5	41.3	[42,45)
34.7	29.8	[33,36)
56	58.9	[54,57)
38.4	35.5	[36,39)
48.2	34	[48,51)
48	51.3	[48,51)
61.8	60.3	[60,63)
42.6	42.4	[42,45)
70.8	67.2	[69,72)
67.7	74.1	[66,69)
33.4	30	[33,36)
33.5	31	[33,36)
59.1	67.5	[57,60)
66.9	69.9	[66,69)
47.3	52.1	[45,48)
56.3	60.5	[54,57)
72.1	68.7	[72,75)
28.2	34.2	[27,30)
54.2	58.2	[54,57)
36	38.5	[36,39)
57.2	55.9	[57,60)
74.2	67.9	[72,75)
59.5	45.5	[57,60)
58.1	58.2	[57,60)
72.4	75	[72,75)
31.7	23.9	[30,33)
75.5	71.2	[75,78)
59.8	56.5	[57,60)
42.4	33.9	[42,45)
48.1	45.5	[48,51)
60.2	52.1	[60,63)
29.3	36.6	[27,30)
40.4	41.7	[39,42)
40.2	48.6	[39,42)
47.1	52.6	[45,48)
20.2	25.9	[18,21)
36.4	38.4	[36,39)
53.3	50.7	[51,54)
65.4	70.5	[63,66)
57.8	48.7	[57,60)
73.1	66.9	[72,75)
63.1	59.9	[63,66)
57	57.5	[57,60)
43.8	42.2	[42,45)
75.5	69.8	[75,78)
46	42.7	[45,48)
60.6	61.3	[60,63)
47.4	46.4	[45,48)
55	52.7	[54,57)
62.4	65.2	[60,63)
46.4	53	[45,48)
36.4	46.7	[36,39)
45.5	44.1	[45,48)
35.1	30.8	[33,36)
60.5	57.9	[60,63)
57.4	52.4	[57,60)
72.9	69	[72,75)
28.1	34.2	[27,30)
45.5	49.8	[45,48)
66.9	73.5	[66,69)
30.3	34.4	[30,33)
25.4	28.6	[24,27)
60	66.2	[60,63)
51.9	42.7	[51,54)
45.5	53.5	[45,48)
65.2	57.8	[63,66)
40.9	31.7	[39,42)
40.8	38.1	[39,42)
72.2	68.8	[72,75)
44.2	47.6	[42,45)
49.3	45.5	[48,51)
61.1	46.1	[60,63)
77.3	72.1	[75,78)
54.3	51.6	[54,57)
51.4	55.9	[51,54)
61.4	50.5	[60,63)
67.6	60.6	[66,69)
74	67.3	[72,75)
50.2	52.1	[48,51)
40.2	38.1	[39,42)
29.6	35.6	[27,30)
66	74.3	[66,69)
30.8	41.5	[30,33)
42.5	45.3	[42,45)
54	51.1	[54,57)
73.7	74	[72,75)
27.7	28.9	[27,30)
62.1	57.7	[60,63)
77.6	70	[75,78)
44.2	38.9	[42,45)
25.8	24	[24,27)
46	44.9	[45,48)
47.6	45.8	[45,48)
50.7	65.2	[48,51)
34	28.8	[33,36)
44.6	34.4	[42,45)
70.9	72.3	[69,72)
42.4	41.1	[42,45)
64.2	63.1	[63,66)
54.5	60.6	[54,57)
64.1	63.1	[63,66)
79.2	78.6	[78,81)
46.2	47.8	[45,48)
56.5	55.4	[54,57)
70.3	64.5	[69,72)
29.4	24	[27,30)
50.9	36.9	[48,51)
28.6	30.9	[27,30)
76.5	72.2	[75,78)
27.8	23.8	[27,30)
34.7	37.4	[33,36)
47.2	43.1	[45,48)
50.6	45.7	[48,51)
55.6	58.7	[54,57)
60	51.6	[60,63)
69.4	69.4	[69,72)
65.8	66.8	[63,66)
46.9	42.8	[45,48)
70.7	70.3	[69,72)
66.7	71.7	[66,69)
46.5	45.2	[45,48)
75.7	76.1	[75,78)
46.6	51.1	[45,48)
25.1	27.1	[24,27)
36.1	32.6	[36,39)
59.1	31.5	[57,60)
51.4	50.5	[51,54)
35.3	33.2	[33,36)
72.7	69.6	[72,75)
54.4	68.2	[54,57)
51.4	51.4	[51,54)
52.1	59.1	[51,54)
42.4	52.3	[42,45)
74.3	56.7	[72,75)
63.2	69.4	[63,66)
55.1	57	[54,57)
56.9	50	[54,57)
67.2	67	[66,69)
44.6	42.9	[42,45)
37.8	36.6	[36,39)
22.4	24	[21,24)
54.2	49	[54,57)
58.8	55.6	[57,60)
65.5	68.4	[63,66)
40.5	40.2	[39,42)
37.7	65	[36,39)
54.7	57.8	[54,57)
51.3	49	[51,54)
50.8	50.8	[48,51)
52.3	50	[51,54)
57.4	62.2	[57,60)
50	48.3	[48,51)
51.3	48.4	[51,54)
59.8	55.2	[57,60)
40.4	41.8	[39,42)
57.1	59.9	[57,60)
62.3	64	[60,63)
31.2	36.5	[30,33)
76.3	75.8	[75,78)
42	55.9	[42,45)
64.8	71.3	[63,66)
44.3	41.9	[42,45)
58.5	60.5	[57,60)
32.9	37	[30,33)
42.9	34.7	[42,45)
29.7	33.9	[27,30)
53.1	53.5	[51,54)
62.3	69.9	[60,63)
30.6	29.1	[30,33)
62.1	67.7	[60,63)
43.4	38.1	[42,45)
60.7	64.3	[60,63)
39.8	37.3	[39,42)
38.5	31.8	[36,39)
73	70.2	[72,75)
44.7	39.2	[42,45)
55.9	53.5	[54,57)
44.7	50	[42,45)
48.9	49.7	[48,51)
62.8	71.8	[60,63)
46.1	50.5	[45,48)
67.3	73.8	[66,69)
27.2	30.7	[27,30)
34.1	32	[33,36)
33.8	32	[33,36)
70.2	64.9	[69,72)
55.3	49.5	[54,57)
57.8	69.1	[57,60)
69.5	72.8	[69,72)
66.8	67.4	[66,69)
66.5	63.8	[66,69)
65.5	54.1	[63,66)
33.6	36.2	[33,36)
53	43.7	[51,54)
73.6	67.2	[72,75)
46	37.5	[45,48)
58.7	48.9	[57,60)
56.4	59.9	[54,57)
38.7	39.3	[36,39)
53.9	54.5	[51,54)
48.2	52.4	[48,51)
66.8	66.9	[66,69)
73.9	75.3	[72,75)
36	35.3	[36,39)
53	63.5	[51,54)
54.5	52.2	[54,57)
69.6	68.9	[69,72)
71.8	75.2	[69,72)
66.4	69.9	[66,69)
74.1	75.2	[72,75)
60.7	63.1	[60,63)
39.3	43	[39,42)
65.3	65.3	[63,66)
72.6	75.4	[72,75)
48.6	51.4	[48,51)
48.2	45	[48,51)
38.1	35.3	[36,39)
50.8	66.9	[48,51)
57.6	55.9	[57,60)
33.5	28.1	[33,36)
25.5	28.1	[24,27)
78.3	67.9	[78,81)
53.7	51.5	[51,54)
50.8	54.6	[48,51)
29.2	29.3	[27,30)
53.7	49.1	[51,54)
59.7	68.5	[57,60)
46.8	47.2	[45,48)
53.4	62.8	[51,54)
50.1	52.7	[48,51)
43.8	38.4	[42,45)
60.4	55.1	[60,63)
66.7	69.3	[66,69)
64.1	62.3	[63,66)
67.2	63.7	[66,69)
40.9	37.8	[39,42)
29.5	23	[27,30)
45.6	40.2	[45,48)
25.2	28.7	[24,27)
67.1	71.7	[66,69)
36.8	36.5	[36,39)
36.5	37.3	[36,39)
59.5	53	[57,60)
67.6	74.2	[66,69)
65.5	62	[63,66)
72.4	69	[72,75)
62.7	61.1	[60,63)
32	33.8	[30,33)
41.5	41.7	[39,42)
58.7	65.8	[57,60)
36.5	38.8	[36,39)
68.2	63.5	[66,69)
76.4	71.8	[75,78)
63	50.4	[63,66)
69.4	66	[69,72)
50.2	52.4	[48,51)
72.7	72.2	[72,75)
50.1	56.1	[48,51)
46.1	52.4	[45,48)
70.8	74.6	[69,72)
43.4	42	[42,45)
73.1	72.3	[72,75)
70.9	70.1	[69,72)
39.4	40.1	[39,42)
