CA	organ_age	Age_group
67.6	73.3	[66,69)
67.1	63.7	[66,69)
48.6	56	[48,51)
42.3	41.3	[42,45)
38.6	44.9	[36,39)
40.8	49.1	[39,42)
36.1	30.9	[36,39)
62.1	60.3	[60,63)
54.2	51.5	[54,57)
33.7	40.2	[33,36)
41.5	35.2	[39,42)
35.6	26.5	[33,36)
76.1	71.7	[75,78)
58.8	63.6	[57,60)
68.7	76.1	[66,69)
51.5	48	[51,54)
52.7	51.2	[51,54)
77.4	69.6	[75,78)
49.4	50.8	[48,51)
51.6	56.2	[51,54)
61.2	60.5	[60,63)
75.1	74.8	[75,78)
40.1	34.8	[39,42)
68.6	62.3	[66,69)
65.6	62.5	[63,66)
66	64.8	[66,69)
59	46.7	[57,60)
73	74.7	[72,75)
29.7	25.1	[27,30)
45.7	44.2	[45,48)
64.9	64.4	[63,66)
29.3	23	[27,30)
36.3	34.5	[36,39)
71	67.5	[69,72)
74.2	62.7	[72,75)
60.6	66	[60,63)
36.7	37.2	[36,39)
52.6	51.5	[51,54)
67.1	67.5	[66,69)
26.9	37.8	[24,27)
60.2	69.3	[60,63)
51.2	50.6	[51,54)
64	63	[63,66)
20.2	23.8	[18,21)
48.1	45.7	[48,51)
53.5	55.5	[51,54)
73.3	75	[72,75)
40.3	45.1	[39,42)
53.9	58	[51,54)
60.5	61	[60,63)
46.1	47.2	[45,48)
42.4	48.9	[42,45)
43.4	43.5	[42,45)
64.7	62.9	[63,66)
59.1	44.5	[57,60)
35.5	51.4	[33,36)
66.2	76.3	[66,69)
68	66.8	[66,69)
53	49.7	[51,54)
42.6	34.2	[42,45)
35.9	34.1	[33,36)
35.7	38.8	[33,36)
64.5	67.8	[63,66)
74.5	72.4	[72,75)
51.2	51.6	[51,54)
65	75.3	[63,66)
61.8	61.1	[60,63)
68.1	66.7	[66,69)
64.4	66.9	[63,66)
47.6	48.3	[45,48)
76.4	70.7	[75,78)
73.6	68.1	[72,75)
46.8	53	[45,48)
60.7	59.9	[60,63)
45.9	46.6	[45,48)
48.9	50.1	[48,51)
47	43.3	[45,48)
45.2	39.5	[45,48)
65.3	61.6	[63,66)
67.4	76.2	[66,69)
61	55	[60,63)
55.7	51	[54,57)
65.1	76.1	[63,66)
20.5	22.7	[18,21)
66	67.5	[66,69)
58.3	55.7	[57,60)
56.6	57.5	[54,57)
28.8	23.4	[27,30)
61.5	51.6	[60,63)
55	68.9	[54,57)
50.1	50.1	[48,51)
55.2	50.7	[54,57)
22	22.3	[21,24)
37.1	40.8	[36,39)
50.3	31.1	[48,51)
54.9	50.9	[54,57)
69.5	72.4	[69,72)
54.7	55.8	[54,57)
65.9	66.4	[63,66)
44.7	53.9	[42,45)
63.3	48.2	[63,66)
53.2	49.1	[51,54)
45	48.7	[45,48)
51.7	49.2	[51,54)
45.2	44.7	[45,48)
57.4	55	[57,60)
46	44.1	[45,48)
60.4	58.8	[60,63)
32	29.2	[30,33)
47.6	45.1	[45,48)
49	56.5	[48,51)
52.7	66	[51,54)
52.2	49.6	[51,54)
36.6	33	[36,39)
33	36.4	[33,36)
30.2	28.7	[30,33)
46.9	50.5	[45,48)
53.2	52	[51,54)
47.3	57.2	[45,48)
69.2	60.1	[69,72)
49.2	54.6	[48,51)
58.7	49.5	[57,60)
75.7	69.7	[75,78)
46	49.5	[45,48)
56.5	52.6	[54,57)
38.7	49.4	[36,39)
38.9	41.1	[36,39)
58.2	56.1	[57,60)
36.4	33.1	[36,39)
72.7	73.2	[72,75)
63.3	68.6	[63,66)
59.1	66.2	[57,60)
50	49.9	[48,51)
46.9	52.5	[45,48)
53.4	48.9	[51,54)
50.5	67.4	[48,51)
65.2	73.2	[63,66)
